product_id,product_name,category,price,cost,launch_date,discontinued
1,Product_srxLU,Home & Kitchen,free,1755,24/04/2021,FALSE
2,Product_TVjGZ,Electronics,"₹2,878",1745,01/03/2018,no
3,Product_gyAGP,Footwear,"₹2,757",3460,2021-03-24,
4,Product_aRAQX,Home & Kitchen,-339,3002,May 26 2017,no
5,Product_qgBOf,Toys,0,3703,Aug 28 2021,Yes
6,Product_bJPEj,Electronics,0,3288,Sep 28 2015,no
7,Product_daVzM,Electronics,free,1284,2023.10.18,
8,Product_abwtg,Toys,-422,2193,2022-07-23,no
9,Product_tyEAp,Apparel,-551,1712,Jul 07 2023,FALSE
10,Product_tjOjb,Apparel,free,3294,22/08/2017,no
11,Product_WQfyq,Footwear,-702,1594,2015.05.29,Yes
12,Product_fPuVT,Toys,-297,3890,2020-01-18,No
13,Product_diPoS,Home & Kitchen,1395,2698,Sep 15 2018,FALSE
14,Product_NzWcH,home &Kitchen,-141,1453,Nov 28 2018,FALSE
15,Product_omzzt,home &Kitchen,1722,2839,2021.10.19,FALSE
16,Product_EyrxZ,Toys,"₹1,153",3614,2016-06-25,FALSE
17,Product_WBtEu,Home & Kitchen,2604,718,2025-09-20,No
18,Product_EFaNA,Apparel,free,2286,2021-05-02,no
19,Product_ocopy,Apparel,"₹4,517",1375,2020-02-20,
20,Product_drxHC,Home & Kitchen,free,1457,2025-02-23,
21,Product_axiDT,Apparel,0,1056,Jul 10 2018,FALSE
22,Product_ybjIG,Toys,free,2076,01/01/2024,no
23,Product_QeZOd,home &Kitchen,0,2008,Jan 12 2017,
24,Product_uPgak,Stationery,3701,1703,Dec 19 2023,No
25,Product_QDxOl,Home & Kitchen,free,2548,06/01/2018,no
26,,Footwear,4713,496,2022-04-25,Yes
27,Product_PEQsS,Home & Kitchen,"₹4,450",3723,2015.04.17,no
28,Product_ileVg,Home & Kitchen,0,1765,2015.03.01,Yes
29,Product_YeQyQ,Stationery,0,2874,16/09/2025,No
30,,Footwear,free,3894,2018.01.01,no
31,Product_VOcvd,Apparel,3767,1746,2015.11.15,Yes
32,Product_GwKUo,Stationery,"₹2,112",1720,18/09/2015,Yes
33,Product_cTXNG,Stationery,-387,1913,2020-09-20,no
34,Product_LQgZI,home &Kitchen,free,3389,2024-01-15,
35,Product_rdMnc,Stationery,₹793,3971,2018-01-24,FALSE
36,Product_WNvsg,home &Kitchen,0,617,2021-12-01,
37,Product_rPmqo,Home & Kitchen,free,2474,2017.07.22,no
38,Product_OMkDW,Electronics,free,1091,Sep 20 2025,FALSE
39,Product_oMGXM,Apparel,free,2853,Nov 13 2024,No
40,Product_LthAF,Home & Kitchen,free,2954,2019.04.25,
41,,Stationery,"₹1,899",1045,2018-12-09,FALSE
42,Product_SJDzL,Toys,-461,2290,18/09/2020,FALSE
43,Product_QGENB,home &Kitchen,3751,2843,2023-06-24,
44,Product_yUVxW,Toys,-989,2791,Mar 01 2022,no
45,,Home & Kitchen,free,268,08/12/2024,Yes
46,Product_bunBy,home &Kitchen,0,242,17/02/2017,Yes
,Product_HDeCG,Stationery,free,3720,2015-01-02,Yes
48,Product_YduPn,Apparel,₹574,1678,Jan 06 2025,Yes
49,Product_Dsxvh,Stationery,-778,1174,2022-12-06,FALSE
50,Product_HBjrZ,Electronics,₹971,96,Sep 01 2015,no
51,,home &Kitchen,-997,2899,2015.04.10,No
52,Product_tMZyb,Electronics,-198,2060,Nov 13 2023,Yes
53,Product_inCcx,Toys,"₹3,820",3768,2021-10-26,FALSE
54,Product_MNoHJ,Stationery,0,2999,2018.09.17,
55,Product_LGNVN,Footwear,3087,3680,2015-12-07,FALSE
56,Product_caqln,Apparel,-860,1206,2015.04.12,FALSE
57,Product_OsnsQ,Toys,-126,3526,Nov 28 2021,no
58,Product_hZkkQ,Footwear,0,621,2016-11-02,
59,Product_nWRHH,Footwear,"₹3,280",3595,Dec 20 2024,Yes
60,Product_dZJOV,Apparel,free,134,2016-01-15,No
61,Product_YSTZU,Apparel,-819,2165,2025.03.28,No
62,,Toys,-255,877,Jan 27 2015,FALSE
63,Product_mTRwD,Apparel,-760,1766,Feb 17 2022,no
64,Product_HzzNJ,Footwear,free,1869,2019-03-12,
65,Product_bnLTs,Stationery,₹378,2786,2025-11-01,
66,Product_llHzz,Home & Kitchen,728,2548,Jan 18 2023,Yes
67,Product_OegNJ,Footwear,0,2938,2022-08-31,
68,Product_PkYDd,Electronics,0,1364,01/03/2022,no
69,Product_KWzGV,Apparel,0,888,Mar 10 2018,No
70,Product_MmGop,Footwear,-196,1949,07/03/2022,No
71,Product_iSfID,Footwear,free,2190,2015.06.15,no
72,Product_fWrfI,Toys,"₹4,410",622,Apr 14 2021,
73,Product_MnZwL,Toys,3396,1099,17/08/2023,no
74,Product_ydftI,Stationery,free,3900,2021.03.16,no
75,Product_nrBcv,Home & Kitchen,free,79,Dec 30 2020,FALSE
76,Product_zOkFC,Stationery,0,2779,15/04/2025,no
77,Product_TPqzK,Home & Kitchen,0,536,Jun 29 2018,Yes
78,Product_OSDIU,Stationery,0,2736,24/11/2016,no
79,Product_yhxzf,Home & Kitchen,0,3716,2019.04.27,No
80,Product_aBIbP,Toys,-198,1161,12/01/2021,No
81,Product_qMbKm,home &Kitchen,-982,1120,2017.10.28,No
82,Product_TqjvZ,Footwear,-668,580,2015.02.03,FALSE
,Product_aWxhY,Toys,4554,3584,Nov 15 2020,No
84,Product_dNDii,Toys,₹518,91,Dec 08 2022,
85,Product_YZdaO,Apparel,free,333,04/02/2020,FALSE
86,Product_SpiTk,Footwear,"₹4,968",2338,Aug 26 2023,no
87,Product_WsSAx,Apparel,2752,267,02/01/2025,no
88,Product_FsXCt,Electronics,0,3392,30/10/2022,FALSE
89,Product_SWpwD,Stationery,0,2513,21/05/2022,Yes
90,Product_VedXX,home &Kitchen,0,2569,09/01/2022,FALSE
91,Product_RDjjV,Footwear,0,2245,Nov 17 2025,no
92,Product_sPeUo,Apparel,₹281,137,2025.10.25,
93,Product_NTvbJ,Home & Kitchen,0,1402,2019-10-05,Yes
94,Product_KpHJO,Stationery,0,505,2015-06-02,No
95,Product_owGsY,Stationery,2925,3721,07/06/2020,no
96,Product_XBrgB,Electronics,free,1926,2025-08-05,Yes
97,Product_AQUgJ,Apparel,free,1934,2017-03-08,no
98,Product_ZONWS,home &Kitchen,free,1920,Nov 10 2018,no
99,Product_sLwtZ,Footwear,free,1744,07/05/2020,
100,Product_nHrmo,Footwear,2638,968,2020.09.18,No
,Product_JqbIu,Toys,0,1228,Mar 13 2017,Yes
102,Product_kHSsG,Home & Kitchen,3601,3542,2021.04.28,No
103,Product_pGFSU,Stationery,1559,2774,2015-12-23,FALSE
104,Product_tRCYT,Footwear,-830,2905,21/09/2018,
105,Product_kHOuX,Footwear,-328,3202,13/07/2021,FALSE
106,Product_YqJCj,Toys,3523,3828,Dec 07 2021,no
107,,Home & Kitchen,-810,3479,2017-03-04,No
108,Product_GPNpr,Home & Kitchen,free,3514,Jan 11 2021,
109,Product_ebAxk,Toys,0,3617,31/10/2020,no
110,Product_kQKcM,Home & Kitchen,"₹2,615",1016,2018.11.24,
111,Product_fOFAv,Apparel,-884,3371,2020-07-23,No
112,Product_ctOSu,Toys,free,2646,2018.04.30,No
113,Product_Luduj,Toys,-796,793,Feb 19 2021,Yes
114,Product_LXSeg,Apparel,1501,1524,Jul 01 2022,FALSE
115,Product_NQZrI,Apparel,free,2245,02/11/2024,no
116,Product_dglan,Stationery,free,3338,14/12/2020,
117,Product_DUZlr,Home & Kitchen,free,2124,04/07/2019,FALSE
118,Product_FOpPE,Electronics,3136,2203,2015.06.29,no
119,Product_YvuEp,Home & Kitchen,"₹1,808",3766,Oct 28 2017,no
120,Product_OANGM,Stationery,free,1414,2019.06.18,FALSE
121,,Apparel,"₹4,939",720,2015-03-16,
122,Product_RMmNr,Electronics,2058,202,2023-07-18,no
123,Product_ivSYg,Electronics,₹504,2292,10/01/2023,no
124,Product_hJOcb,Apparel,"₹2,540",1120,Jun 14 2016,FALSE
125,Product_RDLml,Apparel,"₹4,561",1134,2021.10.10,
126,Product_tcNNU,Footwear,"₹4,070",1199,Sep 26 2024,
,Product_HccmW,home &Kitchen,-320,3757,13/08/2015,
128,Product_WOwEp,Toys,free,1782,Sep 16 2021,
129,Product_oiiji,Footwear,"₹1,701",2881,30/07/2024,No
130,Product_rZuzb,Footwear,0,3850,2024.08.30,Yes
131,Product_Zntxb,Stationery,885,1325,29/03/2024,FALSE
132,Product_jHxfW,Toys,free,1749,01/11/2018,No
133,Product_FrNEM,Home & Kitchen,0,1545,Apr 18 2021,no
134,Product_lMJaz,Footwear,0,808,2019-09-22,FALSE
135,Product_NiGnm,Home & Kitchen,free,2840,Sep 13 2025,no
136,Product_WaiQJ,Home & Kitchen,-753,2390,2024.01.02,Yes
137,Product_dvvvH,Electronics,free,3076,2023.10.25,Yes
138,Product_ipNNY,Apparel,free,2031,Apr 07 2015,no
139,Product_dIUNR,home &Kitchen,-243,325,2015.10.19,No
140,Product_vmVGU,Home & Kitchen,2283,226,2017-09-13,No
141,Product_dwGto,Footwear,-267,2452,22/08/2019,Yes
142,Product_fpRpO,Home & Kitchen,0,374,2019.05.24,No
143,Product_dcYLw,Stationery,0,2025,2017-02-26,no
,Product_pUedx,Stationery,free,2378,2024.07.02,No
145,Product_Bxqua,home &Kitchen,free,1567,2019.12.28,Yes
146,,Home & Kitchen,0,983,2016.05.08,No
147,Product_YgeKj,Stationery,"₹3,984",316,2020-04-12,no
148,Product_vqGXT,Apparel,"₹3,129",1128,2025.08.15,no
149,Product_ahMCZ,Home & Kitchen,1864,869,15/02/2024,no
150,Product_EqXQv,Electronics,-629,2995,2022-07-16,FALSE
151,Product_ndQFA,Apparel,4811,3462,May 11 2024,Yes
152,Product_dKSnh,Home & Kitchen,"₹1,211",2183,20/12/2017,no
153,Product_KGSRU,Footwear,-252,1796,2015-09-14,Yes
154,Product_QjMzz,Footwear,₹674,2366,Aug 14 2017,
155,Product_FlsLS,Apparel,3858,2070,2017-02-21,no
156,Product_RuieQ,Apparel,3822,2351,2021.08.12,Yes
157,Product_feYCa,Apparel,-759,3661,2022-01-03,FALSE
158,Product_lPlEH,Home & Kitchen,-500,3152,Jun 30 2015,
159,Product_bbRcF,Footwear,3412,2982,2017-06-12,
160,Product_twpPE,Stationery,0,3169,2018-03-25,No
,Product_HXFcu,Footwear,2240,247,2016-04-26,no
162,Product_exDXe,Electronics,-522,2187,Aug 07 2023,
163,Product_rTMfQ,Home & Kitchen,3695,2888,25/03/2022,No
164,Product_ElzCw,Home & Kitchen,0,3422,Nov 23 2024,
165,Product_ZzkWz,Footwear,free,357,04/03/2016,Yes
166,Product_mhTAS,Home & Kitchen,3853,899,2025-03-02,
