sale_id,sale_date,customer_id,product_id,quantity,unit_price,total_amount,store_id,payment_type,discount
1,2020-06-09,789.0,,-1,0,0,S02,NetBanking,5%
2,2017.12.03,642.0,,3,1323,3507,S02,upi,0
3,2015-01-25,873.0,,3,0,0, ,card,N/A
4,Oct 02 2017,1412.0,358,3,N/A,error,S01,card,5%
5,2022.09.06,157.0,X300,0,0,0,S02,CASH,N/A
6,2017-12-30,1289.0,,0,4341,0,S01,card,-50
7,2016.02.23,707.0,X300,1,N/A,error,,upi,0
8,Feb 14 2017,436.0,,3,N/A,error,S01,Credit Card,10
9,2020.12.31,495.0,,-1,3328,-3328,S01,Credit Card,-50
10,2022-04-25,1218.0,X300,3,0,0,S01,upi,N/A
11,2019-03-27,536.0,,3,2154,6462,S01,NetBanking,-50
12,2017-05-14,59.0,X300,-1,489,-489, ,CASH,10
13,2019.10.14,122.0,269,0,"₹1,462",0,S02,NetBanking,N/A
14,2017.05.13,289.0,X300,1,2819,2819,S03,upi,-50
15,18/12/2024,1575.0,X300,2,"₹2,917",5834,S01,CASH,5%
16,Aug 31 2015,127.0,,-1,N/A,error,,cash ,N/A
17,05/05/2022,235.0,X300,2,3926,7852,S01,card,-50
18,22/07/2015,1430.0,X300,-1,0,0,S02,Credit Card,0
19,Jan 14 2019,1248.0,,1,"₹1,141",1174,,upi,-50
20,Feb 15 2018,660.0,,3,"₹4,706",13683,S03,cash ,N/A
21,2016.10.27,893.0,,0,N/A,error,S02,Credit Card,N/A
22,17/11/2015,262.0,74,0,0,-418,S02,NetBanking,-50
23,2018.05.19,1510.0,524,0,N/A,error,S03,upi,5%
24,19/11/2025,1151.0,X300,0,"₹4,719",0,S02,upi,5%
25,2025.06.14,355.0,X300,2,N/A,error,S01,Credit Card,10
26,Mar 29 2015,1091.0,,one,0,error,S03,Credit Card,0
27,2015-07-10,80.0,219,3,0,0,S02,CASH,0
28,12/03/2016,198.0,,one,N/A,error,,CASH,10
29,2016.02.09,260.0,X300,2,N/A,error,S02,NetBanking,10
30,Apr 11 2017,218.0,,0,N/A,error,S01,upi,5%
31,2015-05-13,1391.0,,1,0,0,S03,cash ,0
32,01/03/2025,1447.0,403,2,N/A,error,S03,upi,5%
33,23/04/2021,178.0,X300,0,"₹1,800",0, ,card,-50
34,2018.04.16,694.0,X300,0,"₹1,541",0,,NetBanking,N/A
35,Sep 12 2018,583.0,,0,1424,0,,CASH,0
36,May 27 2020,1015.0,,-1,4475,-4475,,cash ,-50
